id,strTitle,flagDisabled
tokyo,東京国税局,1
08103,広島西
08105,広島南
08107,廿日市
08109,呉
08111,海田
08113,広島北
08115,吉田
08117,西条
08119,竹原
08121,尾道
08123,三原
08125,福山
08127,府中
08129,三次
08131,庄原
08201,山口
08203,岩国
08205,柳井
08207,徳山
08209,光
08211,防府
08213,厚狭
08215,下関
08217,宇部
08219,長門
08221,萩
08301,岡山東
08303,岡山西
08305,西大寺
08307,瀬戸
08309,玉野
08311,児島
08313,倉敷
08315,玉島
08317,笠岡
08319,高梁
08321,新見
08323,久世
08325,津山
08401,鳥取
08403,倉吉
08405,米子
08501,松江
08505,大東
08507,出雲
08509,石見大田
08511,浜田
08513,益田
08515,西郷
takamatu,高松国税局,1
09101,高松
09103,丸亀
09105,観音寺
09107,坂出
09109,長尾
09111,土庄
09201,松山
09203,今治
09205,伊予西条
09207,新居浜
09209,伊予三島
09211,大洲
09213,八幡浜
09217,宇和島
09301,徳島
09303,川島
09305,阿南
09307,鳴門
09309,脇町
09311,池田
09401,高知
09403,伊野
09405,中村
09407,須崎
09409,南国
09411,安芸
fukuoka,福岡国税局,1
10101,福岡
10103,西福岡
10105,博多
10107,香椎
10109,筑紫
10111,八幡
10113,若松
10115,直方
10117,田川
10119,飯塚
10121,久留米
10123,甘木
10125,大川
10127,八女
10129,大牟田
10131,小倉
10133,門司
10135,行橋
10201,佐賀
10203,鳥栖
10205,唐津
10207,武雄
10209,伊万里
10301,長崎
10303,諫早
10305,佐世保
10307,島原
10309,平戸
10311,福江
10313,壱岐
10315,厳原
kumamoto,熊本国税局,1
11101,熊本西
11103,熊本東
11105,宇土
11107,玉名
11109,山鹿
11111,菊池
11113,阿蘇
11115,八代
11117,人吉
11119,天草
11201,大分
11205,別府
11207,臼杵
11209,佐伯
11211,三重
11213,竹田
11215,日田
11219,中津
11221,宇佐
11301,鹿児島
11303,伊集院
11305,知覧
11307,指宿
11309,川内
11311,出水
11313,加治木
11315,大隅
11317,鹿屋
11319,種子島
11321,大島
11401,宮崎
11403,日南
11405,都城
11407,小林
11409,高鍋
11411,延岡
okinawa,沖縄国税事務,1
12101,那覇
12103,北那覇
12105,沖縄
12107,名護
12109,宮古島
12111,石垣
